DOEID,BA_climate_grp,efficiency_class,NWEIGHT,TOTALDOL,pred_TOTALDOL,top5_annual_savings,savings_share_of_bill
100576,Cold,efficient,8761.0077396,1161.04,2753.05301674221,260.92697430824785,0.22473555976387363
100583,Mixed-Dry,inefficient,3622.0854995,2002.05,1452.9683344858086,328.1085160274382,0.16388627458227228
100588,Mixed-Humid,inefficient,4532.2085047,2830.12,2530.375311281011,472.11296553519674,0.16681729592215055
100601,Hot-Humid,efficient,8928.7009106,1659.03,2474.5773620721793,656.1466195364859,0.39550015342488437
100617,Hot-Humid,average,9519.1101483,3199.13,2789.247956747052,1218.5726504405545,0.3809075124926322
100620,Cold,inefficient,6017.7779465,2124.71,2815.3177528810174,494.2506158807088,0.23262027094554494
100625,Mixed-Humid,average,3388.9727525,1199.25,1131.5920088514374,495.1869277277053,0.412913844259083
100629,Hot-Dry,efficient,8500.8964303,898.66,1723.4531022533604,82.65401470465521,0.09197473427620592
100631,Cold,inefficient,7150.3214721,1919.79,1712.1512106177324,330.5794654850974,0.1721956388381528
100632,Marine,efficient,9002.083836,1930.69,2315.769687188108,141.2019650941331,0.07313549305902714
100637,Hot-Humid,inefficient,3327.3128766,2311.93,1988.932709053037,503.8818734138252,0.21794858556004085
100645,Mixed-Humid,average,12138.706973,2199.22,2346.795439931584,624.5419813959368,0.2839834038413332
100658,Mixed-Humid,average,3635.2564323,1823.68,1759.0552586803851,261.91375201885967,0.14361826198612676
100662,Cold,average,4424.1069941,2482.03,2873.446357231743,475.34955745030294,0.19151644317365338
100671,Marine,efficient,5991.2035631,786.33,1617.120320775887,218.80977134463873,0.27826710330858384
100677,Cold,average,13731.430064,860.9,1086.8344046046816,71.32733719139375,0.08285205853338803
100686,Marine,inefficient,5510.8964115,2240.44,1402.6924283845142,633.024662276809,0.28254479578868835
100694,Mixed-Humid,efficient,4609.208033,3179.61,2899.459539198817,698.6369064005208,0.21972408767129328
100699,Cold,average,2478.5733477,2440.93,3275.97498100835,274.1890676663548,0.11232975450600992
100701,Cold,efficient,2455.3477129,4241.63,6848.228854954409,853.2021125957797,0.20114958461623944
100707,Cold,average,3523.7385177,2208.36,2703.7139469487824,398.1892094465543,0.18030991751641684
100717,Hot-Dry,average,4056.0725264,2034.59,2218.62346129433,707.50900156317,0.3477403317440713
100724,Mixed-Humid,inefficient,7913.1001506,3424.17,2464.341632955733,714.0281862587467,0.2085259161369753
100725,Cold,efficient,14057.908309,1276.68,1275.3401814638942,255.80570521353533,0.20036791146844574
100729,Mixed-Humid,average,5339.2527416,876.7,1037.228746506464,140.48619526574703,0.16024431991074145
100731,Cold,efficient,12981.282268,3174.88,4581.2861380672275,625.2182351764336,0.1969265720834909
100736,Cold,average,5619.0655028,2040.95,2141.8171710457104,325.16992967194125,0.15932282989389315
100739,Cold,efficient,2054.8784445,2071.65,2253.4282522165577,423.69835535365326,0.20452217090418423
100740,Mixed-Humid,inefficient,7062.4646155,5598.05,2824.8578971173456,1307.1784385162878,0.23350603129952174
100741,Mixed-Humid,average,4455.8612124,2040.75,1890.577870583534,373.2969709447491,0.18292146071040014
100752,Mixed-Humid,inefficient,6460.0064348,3845.0,4723.769430264829,654.6395716848172,0.1702573658478068
100755,Hot-Humid,efficient,18391.462335,733.04,828.587328472746,139.428515146947,0.19020587573249348
100758,Cold,inefficient,7127.3762918,2440.67,2005.819811313445,622.304456101652,0.25497279685563884
100759,Mixed-Humid,inefficient,6475.6369619,2050.44,2049.2402668736427,314.6742829303122,0.15346671101339818
100765,Mixed-Humid,inefficient,11271.955796,5376.02,3444.821521328236,1402.3766844162622,0.26085778780887386
100768,Mixed-Humid,efficient,4087.1628399,2320.85,2184.385669919697,407.9195388232662,0.17576299150021166
100769,Cold,efficient,4511.5135994,1367.76,1438.7340833700816,363.5153582089318,0.2657742280874801
100772,Cold,inefficient,8972.1001525,580.22,664.3844608071901,199.59055444399698,0.34399116618523484
100777,Mixed-Humid,inefficient,6240.0598223,1645.62,1489.1683446194688,478.1899138557477,0.29058343594253094
100779,Cold,efficient,2005.9846711,2010.5,2052.186307944315,436.10505808769534,0.21691373195110436
100784,Mixed-Humid,inefficient,7565.345831,1776.61,1808.111388374206,387.8748280494534,0.21832300169955896
100785,Cold,efficient,1814.116973,2286.77,2421.343007740786,316.8958338341346,0.1385779216248834
100793,Hot-Dry,inefficient,9034.6188584,4111.52,2650.576932867695,1382.792206188576,0.33632141061908394
100796,Cold,efficient,4782.8131889,3589.22,2115.515255446118,1377.8655460835416,0.3838899666455502
100798,Hot-Dry,average,4847.301528,3098.97,3071.4735490657167,1134.6396776571357,0.36613445036806935
100814,Mixed-Humid,efficient,6097.9193667,2634.91,2224.6551804129876,401.11156770969694,0.15222970337115763
100816,Mixed-Humid,average,6237.9151969,2162.86,2106.1692331524177,677.7768784610021,0.3133706659057923
100821,Cold,efficient,5316.9306298,2503.11,2662.743682191817,581.6377303172101,0.2323660287870729
100825,Cold,average,8378.6120329,2142.53,2243.326914636698,597.2706579988508,0.27876886577963933
100828,Mixed-Humid,efficient,7045.1049448,1716.44,1839.0643662365144,263.90150008540223,0.15374933005837793
100839,Cold,inefficient,1483.8028235,4249.24,3389.842279838922,533.5266450457482,0.12555813393589163
100842,Mixed-Humid,average,4773.4338019,4642.77,3359.8570862948013,1621.6548829669891,0.34928606908526355
100843,Marine,average,7631.116463,1254.76,1050.7016109493863,499.80051620131417,0.39832359670479944
100844,Cold,average,3746.667844,2333.4,2194.8120943647486,529.4408155434945,0.2268967238979577
100867,Cold,average,6234.4023237,2426.03,2733.8393928026317,668.051798755132,0.2753683172735424
100870,Marine,average,4823.8816686,1661.07,1787.0031877525253,179.07613615590867,0.10780769994997723
100879,Cold,average,9779.7069245,2175.19,2248.047935331058,493.74588425951174,0.22698977296673473
100890,Mixed-Humid,average,6063.1717245,2355.22,2150.481774966986,378.33077737974844,0.160635005383679
100894,Mixed-Humid,inefficient,7722.6828189,2014.69,2097.459395734171,716.049041756666,0.35541400501152337
100904,Cold,inefficient,5004.6651543,1017.41,1428.6338809506308,233.80005682260426,0.2297992518479318
100906,Mixed-Humid,efficient,14927.254336,986.25,1192.96021779449,189.45805792259324,0.1920994250165711
100907,Cold,efficient,3065.5047469,691.33,886.7225188635427,74.37454610795785,0.10758182938388013
100915,Cold,average,11262.844569,2507.49,2125.3165564381884,707.039612182677,0.28197105957857344
100919,Mixed-Humid,efficient,5793.0590433,1081.59,1912.2454874357184,410.70388083345654,0.3797223354815194
100920,Cold,inefficient,10595.251683,1662.69,2121.8443900855455,552.4689121931455,0.33227415344600947
100925,Cold,efficient,9907.8589822,3152.36,3035.8634514505056,1261.4775822005527,0.40016926436084477
100930,Hot-Dry,inefficient,7305.8324496,4898.88,1807.0015678865016,969.1824664884222,0.1978375601134182
100931,Cold,average,7970.9378488,2156.92,2205.025871650593,715.4649133501745,0.3317067454287477
100932,Very-Cold,efficient,6254.1835382,1245.89,2276.1752811975193,158.92298936789297,0.12755780154579693
100937,Marine,inefficient,12418.947823,2062.4,1683.7185775851667,326.76246518885114,0.15843796799304263
100941,Mixed-Humid,average,2261.4326385,2592.4,2895.324963658755,843.1465431449725,0.32523782716593597
100942,Mixed-Humid,inefficient,5950.2824548,1274.63,1331.7862953514116,313.32673838023516,0.24581779683534447
